ID вакансии;Название вакансии;Название компании;Описание вакансии;Ключевые навыки;Населённый пункт;Ссылка на вакансию
36849546;Тестировщик;Точка;"В Точке есть направление, которое отвечает за работу интернет-банка, тестирует и запускает в produсtion новые системы. Сейчас мы ищем коллегу с опытом тестирования и желанием внести весомый вклад в развитие наших продуктов. Мы предлагаем возможность вместе с командой создавать продукты, которыми будут пользоваться сотни тысяч людей. Кто нужен:  Опыт тестирования Web-приложений, API; Глубокое знание методологий тестирования и разработки ПО; Хорошее знание SQL; Опыт разработки тест-планов, тест-кейсов; Аналитический склад ума; Хорошие коммуникативные навыки.    Чем заниматься:  Функциональное ручное тестирование клиент-серверных приложений (iOS, Android, Web); Разработка тестовой документации (составление и актуализация тест-планов, тест-кейсов); Заведение, отслеживание и поддержка дефектов ПО; Взаимодействие с командами разработчиков; Работа над внедрением новых процессов тестирования;    От нас:  Теплая и дружественная атмосфера, в команде ты будешь работать с признанными профи. Постоянное внешнее и внутреннее обучение за счет компании. Используем лучшие практики разработки ПО (agile, автоматизация процесса, непрерывная интеграция). Масштабные задачи: сотни тысяч предпринимателей по всей стране будут использовать твои разработки. Все радости предусмотренные трудовым законодательством, а также расширенная медицинская страховка График работы 5/2 - начало и окончание рабочего дня - гибкое. Уютный офис в центре города в 10 минутах от метро. Комфортная зарплата, которая оправдывает ожидания.     ";[];Екатеринбург;https://api.hh.ru/vacancies/36849546
37969333;Тестировщик;Парфюмерный супермаркет Золотое Яблоко;Мы создаем уникальный продукт на Beauty-рынке, с высокой посещаемостью и последними технологическими новинками. Ищем человека, который сможет поставить процесс тестирования сайта и мобильного приложения на поток, и качественно улучшить нашу команду!!! ОБЯЗАННОСТИ:   Проведение функционального, интеграционного, регрессионного и других видов web, app (IOS, Android),   Регистрация обнаруженных дефектов,   Составление тестовой документации (тест-планов, чек-листов, тест-кейсов),   Анализ ошибок и логов,   Подготовка планов тестирования,   Активное взаимодействие с командами разработки.   ТРЕБОВАНИЯ:   Опыт тестирования web или мобильных приложений от 2-ух лет.   Опыт работы с Jira и Сonfluence.   Стремление к самообучению и развитию в области автоматизации тестирования.   Знание теории тестирования, методологий и процессов разработки ПО,   Аккуратность, ответственность, коммуникабельность.   Опыт составления тест кейсов.   БУДЕТ ПЛЮСОМ:   Знание основ тест дизайна и умение применять эти знания,   Опыт автоматизации тестирования,   Знание SQL,   Знание скриптовых языков (любой),   Знание одного из языков программирования (любого),   Опыт тестирования API.   НАШИ ПРЕИМУЩЕСТВА:  Трудоустройство согласно ТК РФ 5/2, гибкое начало дня Питание за счет компании Конкурентный уровень заработной платы Работа в команде профессионалов  Мы очень внимательно знакомимся с каждым поступившим к нам резюме. В случае принятия решения о встрече, мы обязательно свяжемся с Вами лично.;[{'name': 'Аналитическое мышление'}, {'name': 'Внутренний контроль'}, {'name': 'Управление интернет-проектами'}, {'name': 'SQL'}, {'name': 'iOS'}, {'name': 'Android'}, {'name': 'тест дизайн'}];Екатеринбург;https://api.hh.ru/vacancies/37969333
38012573;Тестировщик;RAKETA;Ракета - сервис организации поездок для корпоративных клиентов. Сотрудники организаций бронируют в Ракете авиа и ж/д билеты, отели, трансферы, визы, формируют бюджет на поездки и согласовывают расходы. Ракета стала лучшим инструментом онлайн-бронирования премии Buying business travel awards в 2018 году и в этом году мы не планируем сбавлять обороты. Мы стремимся развивать сервис, добавляя в него новую функциональность и оптимизируя работу ядра системы. Чтобы новые функции внедрялись быстрее, а пользователи получали именно то, что им нужно мы примем в свои ряды тестировщика. Мы ждем специалиста, который:   Понимает особенности тестирования WEB-сервисов.   Имеет базовые знания языка SQL (написание простых запросов).   Умеет разрабатывать тестовую документацию (чек-лист, тест-кейс).   Знает о методах разработки ПО.   Внимателен и скрупулезен по отношению к деталям.   Готов к работе в режиме многозадачности.   Будет плюсом:   Знание основ тест дизайна и умение применять их на практике.   Опыт в тестировании API (REST + SOAP).   Как тестировщику тебе предстоит:   Написание тест-кейсов и чек листов.   Функциональное, регрессионное, интеграционное и кроссбраузерное тестирование.   Описание найденных багов.   Анализ требований и документации.   Принимать участие в развитии процесса тестирования.   Взаимодействие со всеми членами команды.   Условия работы:   Официальная зарплата всегда вовремя.   Гибкий график работы - утро начинается с 9 до 11.   Кроме этого:   Поездки на ИТ-конференции, митапы, учебные курсы компании, в т.ч. спикером - компания возмещает 50%.   Уютный офис в центре Екатеринбурга с кухней.   Корпоративные мероприятия (Новый год, летний праздник), командные движухи.   Пицца/пироги по пятницам.   Ждём Вас в нашей команде! При возникновении вопросов не стесняйтесь звонить или писать.;[{'name': 'Работа в команде'}, {'name': 'Web-сервис'}, {'name': 'Тестирование'}, {'name': 'API'}, {'name': 'SQL'}];Екатеринбург;https://api.hh.ru/vacancies/38012573
37987275;Ведущий тестировщик;RAKETA;"Ракета - сервис организации поездок для корпоративных клиентов. Сотрудники организаций бронируют в Ракете авиа и ж/д билеты, отели, трансферы, визы, формируют бюджет на поездки и согласовывают расходы. Ракета стала лучшим инструментом онлайн-бронирования премии Buying business travel awards в 2018 году и в этом году мы не планируем сбавлять обороты. Мы стремимся развивать сервис, добавляя в него новую функциональность и оптимизируя работу ядра системы. Чтобы новые функции внедрялись быстрее, а пользователи получали именно то, что им нужно мы примем в свои ряды тестировщика. Мы ждем специалиста, который:   Имеет опыт тестирования WEB-сервисов;   Имеет опыт в автотестировании;   Умеет разрабатывать тестовую документацию (чек-лист, тест-кейс);   Понимает, что такое API (REST + SOAP) и как его тестировать;   Знает о методах разработки ПО;   Знаком с методами тест дизайна и умеет применять их на практике;   Знаком с нагрузочным тестированием;   Внимателен и скрупулезен по отношению к деталям;   Готов к работе в режиме многозадачности.   Будет плюсом:   Знание какого-либо языка программирования (Java, PHP, JS и т.д );   Опыт работы с Selenium.   Как тестировщику тебе предстоит:   Написание тест-кейсов и чек листов;   Функциональное, регрессионное, интеграционное и кроссбраузерное тестирование;   Участие в разработке и поддержке авто-тестов;   Описание найденных багов;   Анализ требований и документации;   Ведение внутренней документации;   Принимать участие в развитии процесса тестирования;   Наставничество;   Взаимодействие со всеми членами команды.   Условия работы:   Официальная зарплата всегда вовремя.   Гибкий график работы - утро начинается с 9 до 11.   Кроме этого:   Поездки на ИТ-конференции, митапы, учебные курсы компании, в т.ч. спикером - компания возмещает 50%.   Уютный офис в центре Екатеринбурга с кухней.   Корпоративные мероприятия (Новый год, летний праздник), командные движухи.   Пицца/пироги по пятницам.   Ждём Вас в нашей команде! При возникновении вопросов не стесняйтесь звонить или писать.";[{'name': 'Работа в команде'}, {'name': 'Web-сервис'}, {'name': 'Модульное тестирование'}, {'name': 'API'}];Екатеринбург;https://api.hh.ru/vacancies/37987275
36276697;Middle QA Engineer;СКБ ЛАБ;"UPD: Мы знаем, что в это непростое время всё нестабильно, кроме того, что работа и подбор в СКБ ЛАБ продолжается! Более того, мы продолжаем трудоустраивать и адаптировать сотрудников к новым проектам, но сейчас делаем это дистанционно!   СКБ ЛАБ - это IT-проект, созданный для разработки интернет-банка и мобильных приложений для него, как для физических, так и для юридических лиц. Если говорить про философию работы, то мы применяем agile подходы. Исходя из этого, можно сказать, что мы гибкие - у каждого есть возможность влиять на принятие решений в проектах! Вся команда, вместе с руководством, находится в офисе в Екатеринбурге, что, несомненно, влияет на скорость принятия решений, и отсутствие бюрократии. Мы ожидаем от вас:  Понимание процессов разработки ПО; Опыт работы в проектах различной сложности, сложно связанных систем (более 2 платформ) от года; Опыт написания тестовой документации; Понимание работы backend и frontend, микросервисной архитектуры; Опыт тестирования API (Postman, Jmeter); Опыт тестирование Web (Chrome DevTools); Опыт тестирования Desktop приложений; Опыт работы с GitLab и Jenkins; Знание SQL на уровне простых запросов (агрегирующие функции, джоины, как строятся связи между таблицами); Умение локализовать баги, опыт работы с системами сбора логов (Kibana), умение находить и анализировать логи, понимать, на чьей стороне произошла ошибка; Отличные коммуникативные навыки, умение решать конфликтные ситуации, умение работать в команде; Стремление развиваться в сфере тестирования;  Будет здорово, если:  Есть опыт наставничества и обучения младших тестировщиков; Опыт тестирования мобильных приложений; Знание одного из языков программирования (Java, Python); Опыт автоматизации рутинных действий (генерация тестовых данных, и т.п.); Понимание бизнес - процессов банка; Понимание процессов автоматизированного тестирования;  Что предстоит делать:  Работать в продуктовой команде, проводить функциональное и регрессионное тестирование; Проводить интеграционное тестирование бизнес-процессов с участием нескольких систем, тестировать backend и frontend, мобильные приложения; Отслеживать и доводить до логического конца заведенные дефекты; Составлять тестовую документацию (чек-лист, тест-кейсы, отчеты об ошибках); Оценивать тесты с точки зрения полноты покрытия, актуализировать тестовую модель; Быть наставником для менее опытных коллег; Проводить иные виды тестирования, необходимые для обеспечения качества продукта (например, при наличии навыков и желания нагрузочное тестирование и задачи по автоматизации);  Что предлагаем:  Уровень дохода зависит от ваших навыков и технических знаний; Премии, не только по итогам года; Возможность развить профессиональную мускулатуру, работая вместе с профессионалами. Познакомиться с лучшими практиками; Возможность участвовать в развитии, предлагать идеи и технологии; Участие в мероприятиях для профессионального развития. Тренинги, учебные курсы; Удобное рабочее место с современной техникой; Компенсация занятий спортом; Оплата паркинга для автолюбителей, и Е-карта для пешеходов; Отличный офис с великолепным панорамным видом на город, кухней (фрукты, плюшки, чай, кофе прилагаются - как без глюкозы?;)) и зонами релакса; Велопарковка, душ, кикер, аэрохоккей, боксёрская груша и гимнастический станок; Отлаженные процессы. Минимум бюрократии; Лояльный график рабочего дня.  Мы ценим:   Тех, кто не боится ответственности; Тех, кто работает на результат; Тех, кто не требует микроменеджмента и постоянного менторства; Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером; Тех, кто готов делиться своим опытом; Красивый код; Чувство юмора  Ждем Вас в нашем офисе! Обсудим больше подробностей. При любых вопросах не стесняйтесь звонить или писать.";[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'Java'}, {'name': 'QA'}, {'name': 'Тестирование'}, {'name': 'API'}];Екатеринбург;https://api.hh.ru/vacancies/36276697
37830535;Тестировщик (ДелоБанк);СКБ-Банк;Команда смелых и решительных продактов, создающих продукт для людей дела, ищет креативного, профессионального, болеющего за дело тестировщика. Чем предстоит заниматься?  Тестировать руками и писать автотесты, работать в тесной связке с бизнесом и разработкой, уберегать клиентов от возникновения багов на рабочке, участвовать в оптимизации процессов, выявлять суть проблемы и находить пути ее решения, наполнять backlog команды историями по улучшениям продукта и процесса. В работе используем: Testlink, Confluence, Postman, Jira и Youtrack. Виды тестирования: интеграционное, тестирование локализации, интерфейса пользователя, удобства использования, конфигурационное, Smoke-тестирование, API-тестирование, регрессионное тестирование. С нашей стороны мы: Можем обеспечить множество нетривиальных задач, право и обязанность на реализацию самых смелых идей и обязательное влияние на клиентское предложение.  Официальное трудоустройство согласно ТК РФ. Заработная плата по результатам собеседования. Социальная политика: услуги СКБ-банка на льготных условиях, ДМС, компенсацию мобильной связи. Уютный, комфортный и технологичный офис в центре города. ;[{'name': 'Тестирование'}];Екатеринбург;https://api.hh.ru/vacancies/37830535
38044303;Тестировщик;Магнитогорский металлургический комбинат;"Тестировщик 1 линия поддержки нужен в команду по разработке системы электронного документооборота для внедрения системы на различных предприятиях на уровне РФ. Задачи: • функциональное тестирование ПО;• анализ и написание документации, создание планов тестирования, разработка тест-кейсов, чек листов• классификация ошибок и заведение их в багтрекер и отслеживание• моделирование ситуаций, приводящих к ошибкам; контроль исполнения ошибок• взаимодействие с разработчиками, аналитиками и другими участниками процесса разработки и выпуска ПО• участие в разработке и проверке документации• заведение баг-репортов по найденным дефектам;• участие в процессе оценки трудоемкости и сроков тестирования• общение с пользователем для уточнения деталей задачи Требования: • опыт работы с документацией• понимание процессов разработки и контроля качества ПО• знание техник составления тест-кейсов по спецификациям и без• коммуникабельность Будет преимуществом: • базовые знания языка SQL (написание простых запросов)• Знание методов тестирования ПО• опыт работы с баг-трекинг системой Jira• опыт написания test cases, test plans, bug reports• умение приоритизировать обнаруженные проблемы согласно ожиданиям бизнеса• знание технического английского Мы предлагаем: • оформление по ТК РФ;• график работы 5/2 (возможно удаленная работа);• возможность развития в автотестировании, аналитике или разработке;• индивидуальную программу адаптации, помощь наставника;• молодой, энергичный и профессиональный коллектив• полноценную проектную команду: менеджер проектов, системный аналитик, разработчики, тестировщик, технический писатель; З/п по итогам собеседования  ";[];Екатеринбург;https://api.hh.ru/vacancies/38044303
37895628;Тестировщик ПО;Лаборатория качества;С 2009 года”Лаборатория Качества” занимается тестированием программных продуктов разных компаний.  Наша цель - быть компанией, которая болеет за качество продукта клиента и которая восхищает своих клиентов. Мы заинтересованы в развитии своих сотрудников, мы заинтересованы в качестве наших услуг, мы несем идеальное представление о качестве и готовы бороться за него всеми силами, мы - это компания, меняющая качество продуктов в лучшую сторону! Если тебе близка такая философия, ждем тебя в нашей команде! Прямо сейчас мы находимся в поиске опытного мидл-специалиста по тестированию ПО. Что делает мидл-тестировщик :  Проводит тест-анализ Участвует в разработке стратегии тестирования Готовит тест-кейсы и чек-листы Проводит тестирование исследовательское и по готовым сценариям Взаимодействует с командой разработки Ведет установленную отчетность и заполняет необходимую документацию  Необходимые знания и навыки:  Понимание процесса разработки ПО и роли тестирования в обеспечении качества Практический опыт в тестировании от 1,5 лет Значительный практический опыт тестирования API c использованием как минимум одного из инструментов: SoapUI, Postman или JMeter Опыт работы с тестовой документацией Навык составления sql-запросов и опыт работы с базами данных Знание и понимание тест-анализа и тест-дизайна Самостоятельность    Что мы предлагаем:   Работу в формате хоум-офиса (удаленная работа)   Пятидневную рабочую неделю и фиксированный график с 9 до 18 (по МСК.), включая час обеденного перерыва   Официальное оформление по ТК РФ   Возможность изучать или совершенствовать английский язык с нашим корпоративным преподавателем   Возможность бесплатно проходить дополнительные профессиональные образовательные курсы   Возможность развиваться профессионально в интересном для вас направлении   Креативный подход к корпоративной жизни на удаленке и различные бонусы :)   P.S. Перед собеседованием будет необходимо выполнить небольшое тестовое задание.;[{'name': 'SQL'}, {'name': 'тестирование ПО'}, {'name': 'Функциональное тестирование'}, {'name': 'Test case'}, {'name': 'API'}];Екатеринбург;https://api.hh.ru/vacancies/37895628
38044605;Инженер-тестировщик сетевого оборудования;НАГ;Что необходимо делать:  Выполнять тестирование нового функционала Разрабатывать автоматизированные тесты в Robot Framework Заводить баг-репорты в JIRA  Нам нужен специалист:  Обязательно имеющий опыт работы с linux, bash, python С опытом эксплуатации сетевого оборудования (коммутаторы, Wi-Fi маршрутизаторы и т.д.) Обладающий аналитическим мышлением и вниманием к деталям  Мы предлагаем:  Работу в команде признанных экспертов в области телеком оборудования Профессиональный рост: бесплатно обучаем сотрудников в корпоративном учебном центре, делимся друг с другом опытом на мастер-классах, тренингах, онлайн курсах, организовываем профессиональные конференции Интересную корпоративную жизнь: спортивные мероприятия, тематические вечеринки, выездные встречи Режим работы: пятидневную рабочую неделю с гибким началом рабочего дня с 8:00 до 9:00 часов Бесплатную парковку, на которой всегда можно найти место  НАГ - ведущий российский разработчик, поставщик оборудования и решений для отрасли телекоммуникаций и бизнеса. Головной офис находится в Екатеринбурге, значит наши сотрудники решают интересные задачи федерального уровня в оперативном режиме. За последние 15 лет мы вошли в рейтинги: ТОП-50 самых прибыльных IT компаний России, ТОП-100 крупнейших ИТ-компании России, ТОП-20 быстрорастущих IT компаний, ТОП-30 крупнейших поставщиков IT для операторов связи, а также в ТОП-100 лучших работодателей России. Главный актив нашей компании — это люди! Мы ценим открытых, ответственных профессионалов умеющих работать на результат и делаем большой вклад в развитие наших сотрудников. Наш слоган: «Следуй за экспертом» и мы готовы идти вместе с тобой!;[{'name': 'Python'}, {'name': 'Atlassian Jira'}, {'name': 'Linux'}, {'name': 'Bash'}, {'name': 'Тестирование'}];Екатеринбург;https://api.hh.ru/vacancies/38044605
37513042;Тестировщик систем поиска и анализа контента [id52127];Газпром нефть;Обязанности:  Тестирование функциональности информационных систем: поисковые системы, системы анализа контента Проверка корректности интеграцонных механизмов, обработки и анализа данных и контента, разработка авто-тестов Поиск ошибок при проверке функционала информационных систем в части пользовательского интерфейса, функций и модулей Составление тест-кейсов, чтобы ничего не упускать Общение с разработчиками и аналитиками в рамках развития качества продукта Проведение регресс-тестирования стендов Обеспечение качественной работы решений и данных, радовать пользователей.  Требования:   Опыт ручного тестирования информационных систем от 1 года   Высшее техническое образование   Внимательность, умение структурировать информацию   Базовые знания SQL   Понимание работы SQL и noSQL баз данных   Условия:  Работа в стабильной, динамично развивающейся компании Перспектива профессионального роста, возможность обучения ДМС, страхование жизни Годовой бонус по результатам деятельности Уровень заработной платы обсуждается по итогам собеседования       ;[{'name': 'SQL'}, {'name': 'Функциональное тестирование'}, {'name': 'MS SQL'}, {'name': 'Тестирование пользовательского интерфейса'}, {'name': 'UML'}];Екатеринбург;https://api.hh.ru/vacancies/37513042
